customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-10326,Male,0,Yes,Yes,3.0,Yes,DSL,One year,Yes,Bank transfer,89.34,241.61,No
CUST-10708,Male,0,Y,Yes,14.0,Yes,DSL,Month-to-month,Yes,Electronic check,21.62,324.11,Yes
CUST-10445,Female,0,No,No,,Yes,No,Month-to-month,No,Electronic check,20.25,1113.88,No
CUST-10565,Male,1,Yes,No,20.0,Yes,Fiber optic,Two year,No,Bank transfer,55.53,1101.86,No
CUST-10802,Female,0,No,Yes,38.0,No,Fiber optic,Month-to-month,No,Bank transfer,31.04,1189.01,No
CUST-10345,Male,1,No,Yes,51.0,Yes,DSL,Two year,Yes,Credit card,70.09,3571.03,No
CUST-10447,Female,1,No,No,50.0,Yes,Fiber optic,One year,No,Mailed check,87.36,4382.33,No
CUST-10110,Male,0,No,No,63.0,Yes,No,Month-to-month,No,Credit card,48.18,3077.54,No
CUST-10125,Female,0,No,No,17.0,Yes,Fiber optic,One year,No,Electronic check,54.33,920.43,No
CUST-10870,Male,0,Yes,No,11.0,Yes,DSL,Two year,Yes,Electronic check,74.04,813.65,No
CUST-10034,Female,0,Yes,Yes,18.0,Yes,Fiber optic,Two year,Yes,Mailed check,18.11,341.21,No
CUST-10053,Male,1,Yes,No,19.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,89.71,1720.53,No
CUST-10765,Female,0,Yes,No,67.0,Yes,DSL,Two year,Yes,Mailed check,60.99, 4098.1,No
CUST-10948,Female,0,No,No,27.0,Yes,Fiber optic,One year,Yes,Electronic check,63.76,1711.63,No
CUST-10596,Female,0,Yes,Yes,62.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.34,5296.36,Yes
CUST-10237,Male,0,No,No,19.0,Yes,DSL,One year,Yes,Bank transfer,71.05,,No
CUST-10324,Female,0,Yes,Yes,68.0,Yes,Fiber optic,Month-to-month,Yes,,106.43,7255.91,Yes
CUST-10839,Female,0,No,Yes,62.0,Yes,DSL,One year,No,Mailed check,88.83,5544.86,No
CUST-10384,Male,0,No,Yes,17.0,No,No,Month-to-month,No,Bank transfer,35.53,651.17,No
CUST-10318,Female,0,Yes,No,34.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,49.19,1675.96,Yes
CUST-10652,Male,0,Yes,No,68.0,Yes,Fiber optic,Month-to-month,No,Credit card,117.93,7996.39,Yes
CUST-10879,Female,0,Yes,Yes,43.0,Yes,No,Month-to-month,Yes,Bank transfer,68.06,2948.57,No
CUST-10299,Male,0,No,No,13.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,53.14,659.39,Yes
CUST-10739,Female,0,No,No,32.0,Yes,Fiber optic,One year,No,Bank transfer,83.23,2636.17,No
CUST-10431,Female,0,No,No,54.0,Yes,Fiber optic,Month-to-month,No,Electronic check,20.57,1110.11,Yes
CUST-10417,M,0,No,No,7.0,Yes,Fiber optic,One year,No,Mailed check,105.4,760.72,Yes
CUST-10649,Female,1,No,No,44.0,Yes,DSL,One year,No,Credit card,83.78,3690.62,No
CUST-10667,Female,0,Yes,Yes,17.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,88.26,1512.38,No
CUST-10943,Male,0,No,Yes,32.0,No,Fiber optic,Two year,Yes,Electronic check,96.03,,No
CUST-10724,Female,0,Yes,Yes,20.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,69.69,1384.69,No
CUST-10712,Female,0,No,Yes,41.0,Yes,No,Month-to-month,No,Mailed check,98.27,4004.64,Yes
CUST-10999,Female,0,No,Yes,62.0,Yes,DSL,One year,Yes,Credit card,83.51,5189.14,No
CUST-10731,Male,0,No,Yes,24.0,Yes,No,Month-to-month,Yes,Mailed check,72.16,1724.45,Yes
CUST-10717,Male,0,Yes,No,49.0,Yes,DSL,One year,No,Credit card,23.72,1158.69,No
CUST-10204,Male,0,Yes,No,3.0,Yes,DSL,Month-to-month,Yes,Electronic check,48.63,146.03,No
CUST-10571,Male,0,No,No,46.0,Yes,DSL,Month-to-month,Yes,Credit card,114.26,5244.59,Yes
CUST-10924,Male,0,No,Yes,25.0,Yes,No,Month-to-month,No,Mailed check,62.91,1585.71,Yes
CUST-10242,Male,1,No,No,67.0,Yes,Fiber optic,One year,Yes,Mailed check,119.45,8031.71,No
CUST-10982,Female,0,No,Yes,72.0,Yes,Fiber optic,Two year,Yes,Credit card,83.15,5977.31,Yes
CUST-10170,Male,0,No,No,39.0,Yes,DSL,One year,Yes,Credit card,116.4,4535.44,No
CUST-10578,Female,0,No,Yes,9.0,Yes,DSL,Month-to-month,Yes,Credit card,81.42,719.14,Yes
CUST-10970,Male,1,Yes,No,14.0,No,Fiber optic,Month-to-month,Yes,Credit card,106.33,1509.26,Yes
CUST-10965,Female,0,No,No,61.0,Yes,No,Two year,Yes,Credit card,35.08,2173.87,No
CUST-10938,Male,1,No,Yes,57.0,Yes,No,Two year,Yes,Mailed check,62.6,3542.93,Yes
CUST-10205,Male,0,N,No,70.0,Yes,DSL,Month-to-month,Y,Bank transfer,55.8,3923.93,Yes
CUST-10509,Male,0,Yes,No,,Yes,Fiber optic,Two year,Yes,Mailed check,105.74,222.97,No
CUST-10164,Male,0,Yes,No,18.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,56.9,1034.38,No
CUST-10262,Male,0,No,No,17.0,Yes,No,One year,No,Bank transfer,102.41,1722.17,Yes
CUST-10026,Male,1,Yes,No,32.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,57.48,1837.59,No
CUST-10057,Male,0,Yes,No,43.0,No,Fiber optic,Month-to-month,Yes,Mailed check,49.07,2061.46,Yes
CUST-10046,Male,0,No,No,8.0,Yes,No,Two year,Yes,Credit card,90.95,730.27,Yes
CUST-10277,Female,0,Yes,Yes,56.0,Yes,DSL,Month-to-month,Yes,Bank transfer,94.25,5308.26,Yes
CUST-10986,Female,1,Yes,Yes,38.0,Yes,No,Month-to-month,Yes,Mailed check,46.66,1750.13,Yes
CUST-10905,Female,0,No,No,0.0,Yes,Fiber optic,One year,Yes,Credit card,42.37,7.96,No
CUST-10098,Female,1,Yes,Yes,57.0,No,DSL,One year,Yes,Bank transfer,64.12,3690.01,No
CUST-10592,Male,0,No,No,27.0,Yes,DSL,One year,no,Electronic check,106.89,2891.5,No
CUST-10720,Male,0,No,No,62.0,Yes,DSL,Month-to-month,Yes,Credit card,99.87,6198.17,Yes
CUST-10650,Male,0,Yes,No,14.0,Yes,Fiber optic,Two year,Yes,Bank transfer,50.88,710.33,No
CUST-10729,Female,0,No,No,22.0,Yes,DSL,Month-to-month,No,Bank transfer,55.05,1203.04,No
CUST-10146,Male,0,No,Yes,39.0,Yes,No,One year,Yes,Electronic check,44.08,1686.3,No
CUST-10791,Male,0,Yes,Yes,67.0,Yes,Fiber optic,Two year,Yes,Bank transfer,105.22,7028.12,No
CUST-10043,Male,1,No,No,54.0,Yes,Fiber optic,One year,Yes,Mailed check,64.69,3521.88,No
CUST-10695,Male,0,No,Yes,43.0,Yes,No,Month-to-month,N,Mailed check,67.95,2932.45,No
CUST-10663,Male,0,No,Yes,20.0,Yes,Fiber optic,One year,No,Bank transfer,112.22,2269.41,No
CUST-10063,Female,0,Yes,Yes,4.0,Yes,No,Month-to-month,No,Electronic check,95.11,369.93,No
CUST-10951,M,0,Yes,No,31.0,No,Fiber optic,Month-to-month,Yes,,69.12,2165.25,Yes
CUST-10630,Female,1,Yes,Yes,35.0,Yes,DSL,Month-to-month,Yes,Bank transfer,69.88,,No
CUST-10336,Female,0,No,No,39.0,Yes,DSL,Two year,Yes,Mailed check,102.46,3984.8,No
CUST-10038,Male,0,Yes,No,31.0,Yes,DSL,Month-to-month,Yes,Bank transfer,26.52,786.47,Yes
CUST-10467,Female,0,yes,No,7.0,Yes,DSL,Month-to-month,Yes,Electronic check,69.32,501.39,Yes
CUST-10557,Female,0,Yes,Yes,23.0,No,Fiber optic,One year,Yes,Electronic check,93.18,2143.28,No
CUST-10360,Female,0,No,No,45.0,Yes,Fiber optic,One year,Yes,Mailed check,35.52,1600.32,No
CUST-10564,Female,0,No,No,2.0,Yes,No,Month-to-month,Yes,Mailed check,60.38,100.22,No
CUST-10222,Female,0,No,No,49.0,Yes,DSL,Month-to-month,Yes,Electronic check,51.45,2513.63,No
CUST-10929,Female,0,No,No,54.0,Yes,Fiber optic,Month-to-month,No,Electronic check,53.76,2904.08,No
CUST-10563,Male,0,No,No,2.0,Yes,DSL,Month-to-month,Yes,Mailed check,43.2,89.32,Yes
CUST-10868,Male,0,Yes,No,54.0,Yes,No,One year,No,Mailed check,59.16,3187.89,No
CUST-10355,Female,0,Yes,No,26.0,Yes,No,Two year,Yes,Credit card,99.2,2591.12,No
CUST-10788,Female,0,No,No,18.0,No,DSL,Month-to-month,Yes,Credit card,51.5,919.64,Yes
CUST-10305,Male,0,Yes,No,25.0,Yes,Fiber optic,One year,No,Bank transfer,30.18,727.16,No
CUST-10140,Female,0,Yes,No,23.0,Yes,DSL,Month-to-month,Yes,Electronic check,46.82,1094.64,No
CUST-10457,Female,0,Yes,Yes,47.0,No,DSL,Month-to-month,Yes,Bank transfer,109.05,5122.17,No
CUST-10971,Male,0,No,No,54.0,Yes,DSL,One year,No,Electronic check,57.8,3059.54,No
CUST-10553,Male,0,No,No,35.0,Yes,DSL,Month-to-month,Yes,Electronic check,90.44,3152.19,Yes
CUST-10840,Male,0,No,No,20.0,Yes,DSL,Two year,Yes,Bank transfer,36.26,739.84,No
CUST-10810,Male,0,Yes,Yes,59.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,101.95,6014.2,No
CUST-10838,Male,1,No,No,4.0,Yes,No,Month-to-month,Yes,Mailed check,35.77,167.13,Yes
CUST-10061,Female,0,Yes,Yes,57.0,Yes,DSL,Month-to-month,Yes,Electronic check,41.77,2390.15,No
CUST-10894,Female,0,No,No,51.0,Yes,Fiber optic,One year,No,Electronic check,58.15,2950.55,Yes
CUST-10913,Female,1,No,No,68.0,Yes,DSL,Two year,Yes,Mailed check,59.37,4036.51,No
CUST-10511,Female,0,No,No,58.0,Yes,Fiber optic,One year,No,Credit card,71.94,4153.66,No
CUST-10921,Female,0,No,Yes,32.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.22,3031.88,No
CUST-10591,Female,0,Yes,No,70.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,22.44,1581.6,Yes
CUST-10801,Male,0,No,No,5.0,Yes,Fiber optic,Month-to-month,No,Mailed check,46.57,218.73,Yes
CUST-10602,Female,0,Yes,No,34.0,Yes,DSL,Two year,Yes,Bank transfer,48.49,1617.88,No
CUST-10813,Male,0,Yes,Yes,37.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,116.18,,No
CUST-10253,Male,0,Yes,No,39.0,Yes,Fiber optic,One year,No,Credit card,103.0,4006.75,No
CUST-10330,Female,0,No,No,4.0,Yes,Fiber optic,One year,Yes,Bank transfer,37.56,158.2,No
CUST-10368,Male,0,Yes,No,1.0,Yes,Fiber optic,Month-to-month,No,Credit card,52.1,39.61,Yes
CUST-10109,Female,0,Yes,Yes,44.0,Yes,No,One year,Yes,Bank transfer,79.42,3477.23,No
CUST-10789,Male,0,Yes,No,54.0,Yes,Fiber optic,Two year,Yes,Mailed check,101.52,5508.78,No
CUST-10319,Female,0,Yes,No,22.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,61.72,1355.49,Yes
CUST-10757,Male,0,No,No,33.0,Yes,Fiber optic,Month-to-month,No,Credit card,34.94,1120.08,Yes
CUST-10625,Male,0,No,No,39.0,Yes,DSL,Month-to-month,No,Bank transfer,23.03,878.14,No
CUST-10148,Female,0,No,No,7.0,Yes,DSL,Month-to-month,No,Electronic check,102.29,743.02,No
CUST-10686,Male,0,Yes,Yes,14.0,Yes,DSL,One year,Yes,Mailed check,97.67,1341.31,No
CUST-10609,Female,0,No,No,52.0,Yes,No,One year,Yes,Electronic check,34.56,1796.77,No
CUST-10259,Female,0,Yes,No,68.0,Yes,No,Month-to-month,Yes,Credit card,75.87,5144.46,Yes
CUST-10534,Female,0,Yes,No,71.0,Yes,Fiber optic,Two year,Yes,Electronic check,93.4,6674.8,Yes
CUST-10732,Female,0,Yes,No,42.0,Yes,,Two year,Yes,Mailed check,56.6,2386.46,No
CUST-10499,Male,0,Yes,No,,Yes,Fiber optic,Two year,No,Credit card,18.62,633.02,Yes
CUST-10929,Female,0,No,No,54.0,Yes,Fiber optic,Month-to-month,No,Electronic check,53.76,2904.08,No
CUST-10128,Female,0,No,Yes,23.0,Yes,DSL,Month-to-month,Yes,Electronic check,80.1,1837.99,Yes
CUST-10660,Male,0,No,No,4.0,Yes,No,One year,Yes,Electronic check,45.8,192.41,Yes
CUST-10586,Female,0,Yes,No,39.0,Yes,Fiber optic,Month-to-month,No,Credit card,32.3,1246.16,Yes
CUST-10903,Female,0,Yes,No,40.0,Yes,DSL,Month-to-month,Yes,Bank transfer,53.14,2173.81,No
CUST-10186,Male,0,No,No,28.0,Yes,DSL,Month-to-month,No,Electronic check,56.14,1573.1,No
CUST-10487,Female,0,No,No,21.0,Yes,DSL,Month-to-month,Yes,Credit card,24.47,494.58,No
CUST-10570,Female,1,No,Yes,61.0,Yes,DSL,Two year,No,Credit card,82.05,4997.94,No
CUST-10466,Male,1,No,No,26.0,Yes,Fiber optic,One year,Yes,Bank transfer,57.75,1500.23,No
CUST-10485,Male,1,Yes,No,67.0,Yes,DSL,Month-to-month,No,Credit card,103.49,6955.9,Yes
CUST-10594,Male,0,Yes,Yes,69.0,Yes,No,Two year,No,Credit card,25.85,1801.6,No
CUST-10749,Male,1,No,Yes,37.0,Yes,No,Month-to-month,No,Bank transfer,73.63,,No
CUST-10585,Female,0,Yes,No,42.0,No,Fiber optic,Two year,No,Electronic check,54.92,2314.59,No
CUST-10471,Female,0,No,No,9.0,Yes,DSL,Month-to-month,Yes,Mailed check,99.79,898.94,Yes
CUST-10480,Male,1,No,No,48.0,Yes,,Month-to-month,No,Bank transfer,19.96,956.61,No
CUST-10134,Female,0,No,No,47.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,44.36,2061.55,No
CUST-10610,Female,0,No,No,24.0,Yes,DSL,Month-to-month,No,Bank transfer,33.76,793.3,No
CUST-10818,Female,0,No,No,52.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,97.13,5082.16,Yes
CUST-10600,Female,0,Yes,No,9.0,Yes,Fiber optic,One year,Yes,Credit card,72.71,648.22,No
CUST-10159,Female,0,No,Yes,19.0,Yes,DSL,One year,Yes,Mailed check,53.17,1033.28,No
CUST-10408,Female,0,No,No,38.0,Yes,Fiber optic,Month-to-month,No,Electronic check,107.78, 4138.94,Yes
CUST-10367,Male,0,Yes,No,12.0,Yes,DSL,One year,Yes,Credit card,95.21,1176.1,No
CUST-10409,Male,0,Yes,No,67.0,Yes,DSL,Month-to-month,Yes,Mailed check,87.46,5838.66,No
CUST-10048,Female,0,Yes,Yes,12.0,Yes,Fiber optic,One year,No,Mailed check,74.06,858.63,No
CUST-10074,Female,1,No,No,66.0,Yes,No,Month-to-month,Yes,Mailed check,118.44,7857.99,Yes
CUST-10244,Female,0,No,No,58.0,Yes,DSL,One year,Yes,Mailed check,114.27,6642.95,No
CUST-10947,Male,0,Yes,No,29.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.78,2651.71,Yes
CUST-10351,Male,0,No,No,2.0,Yes,Fiber optic,Two year,Yes,Bank transfer,108.03,235.34,No
CUST-10513,Female,1,Y,Yes,7.0,Yes,Fiber optic,One year,No,Electronic check,115.92,810.12,No
CUST-10285,Female,0,Yes,Yes,72.0,No,No,One year,Yes,Mailed check,35.1,2518.6,No
CUST-10675,Female,0,Yes,No,64.0,Yes,DSL,Two year,Yes,Bank transfer,92.36,5947.81,No
CUST-10699,Male,0,No,No,28.0,Yes,Fiber optic,Two year,No,Bank transfer,29.51, 802.91,No
CUST-10620,Male,0,No,No,8.0,No,Fiber optic,Month-to-month,Yes,Credit card,113.48,887.09,Yes
CUST-10503,Female,0,Yes,No,40.0,Yes,DSL,Month-to-month,Yes,Mailed check,79.07,3130.09,Yes
CUST-10542,Male,0,Yes,No,22.0,Yes,DSL,One year,Yes,Electronic check,50.04,1103.98,No
CUST-10054,Male,0,No,No,62.0,Yes,DSL,One year,Yes,Bank transfer,113.46, 7060.43,No
CUST-10395,Female,1,No,No,6.0,Yes,Fiber optic,One year,Yes,Credit card,73.09,420.74,No
CUST-10097,Female,0,Yes,No,67.0,Yes,DSL,Month-to-month,Yes,Electronic check,71.96,4810.34,No
CUST-10849,Female,0,Yes,No,11.0,Yes,DSL,One year,Yes,Credit card,117.61,1304.28,No
CUST-10403,Female,0,No,No,67.0,Yes,No,Two year,Yes,Bank transfer,103.1,6907.9,No
CUST-10449,Male,0,Yes,No,10.0,Yes,Fiber optic,One year,No,Credit card,98.81,991.55,No
CUST-10294,Female,0,Yes,Yes,4.0,Yes,DSL,One year,No,Mailed check,88.19,344.88,Yes
CUST-10127,Female,0,No,No,64.0,Yes,DSL,One year,Yes,Mailed check,89.25,5722.76,No
CUST-10852,Female,0,Yes,No,49.0,Yes,Fiber optic,One year,No,Mailed check,31.81,1547.36,No
CUST-10611,Male,0,No,No,3.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,92.38,294.82,No
CUST-10418,Male,0,Yes,Yes,71.0,Yes,No,Two year,Yes,Mailed check,52.06,3630.99,No
CUST-10996,Female,1,Yes,No,24.0,Yes,No,Month-to-month,Yes,Electronic check,103.28,2483.38,No
CUST-10377,Female,0,No,No,10.0,No,Fiber optic,Month-to-month,Yes,Mailed check,103.31,1025.62,Yes
CUST-10523,Female,0,Yes,No,50.0,No,Fiber optic,Two year,Yes,Credit card,60.37,3013.69,No
CUST-10080,Female,0,Yes,No,65.0,Yes,,One year,No,Mailed check,39.47,2594.48,No
CUST-10158,Female,0,No,No,56.0,Yes,Fiber optic,Month-to-month,No,Credit card,42.6,2377.26,Yes
CUST-10482,Male,0,No,Yes,69.0,Yes,DSL,Two year,Yes,Credit card,102.35,7045.3,No
CUST-10426,Female,0,Yes,Yes,71.0,Yes,DSL,Two year,Yes,Mailed check,98.58,6970.71,No
CUST-10859,Female,0,Yes,No,59.0,Yes,No,Month-to-month,No,Bank transfer,39.1,2317.85,No
CUST-10684,Male,0,No,Yes,27.0,No,DSL,Month-to-month,Yes,Bank transfer,43.12,1150.8,No
CUST-10886,Male,0,Yes,Yes,64.0,Yes,DSL,Month-to-month,Yes,Electronic check,22.87,1472.17,No
CUST-10671,Female,0,Yes,No,25.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,53.66,1346.75,No
CUST-10515,Male,0,No,No,22.0,Yes,DSL,Month-to-month,No,Electronic check,75.35,1658.54,Yes
CUST-10808,Male,0,No,Yes,3.0,No,DSL,Month-to-month,Yes,Bank transfer,110.77,322.87,Yes
CUST-10632,Male,0,Y,No,14.0,Yes,DSL,One year,Yes,Electronic check,18.53,254.88,No
CUST-10696,Female,0,Yes,No,64.0,Yes,Fiber optic,One year,Yes,Mailed check,33.27,2110.21,No
CUST-10350,Female,0,Yes,Yes,24.0,Yes,DSL,Two year,No,Electronic check,110.2,2655.21,No
CUST-10316,Female,1,No,Yes,57.0,Yes,DSL,Month-to-month,No,Electronic check,111.71,6377.78,Yes
CUST-10179,Female,0,Yes,No,67.0,Yes,No,Month-to-month,Yes,Mailed check,57.98,3862.07,Yes
CUST-10890,Male,1,No,Yes,10.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,97.93,975.95,Yes
CUST-10642,Female,0,No,No,70.0,Yes,DSL,Month-to-month,No,Bank transfer,23.85,1661.21,Yes
CUST-10595,Female,0,yes,No,36.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,96.83, 3500.25,No
CUST-10122,Female,1,Yes,Yes,58.0,Yes,Fiber optic,One year,Yes,Electronic check,90.47,5221.7,No
CUST-10908,Male,1,Yes,No,11.0,Yes,,One year,Yes,Bank transfer,63.17,,No
CUST-10472,Male,0,No,No,32.0,Yes,DSL,Month-to-month,Yes,Bank transfer,60.48,1963.69,No
CUST-10756,Female,0,No,No,38.0,Yes,Fiber optic,One year,Yes,Electronic check,45.54,1751.04,No
CUST-10884,Female,1,Yes,No,3.0,Yes,DSL,Month-to-month,Yes,Electronic check,68.97,232.23,Yes
CUST-10528,Female,0,Yes,No,61.0,Yes,Fiber optic,Two year,No,Mailed check,94.38,,No
CUST-10454,Female,1,No,No,34.0,Yes,DSL,Month-to-month,No,Mailed check,38.18,1297.66,No
CUST-10897,Male,1,Yes,Yes,23.0,Yes,DSL,Month-to-month,Yes,Mailed check,48.88,1083.37,Yes
CUST-10912,Male,1,Yes,No,21.0,Yes,DSL,Month-to-month,Yes,Mailed check,81.31,1719.37,No
CUST-10419,Female,0,Yes,No,6.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,27.54,156.38,No
CUST-10172,Female,1,Yes,No,,Yes,DSL,Month-to-month,Yes,Electronic check,78.41,5251.81,No
CUST-10896,Female,0,No,No,19.0,Yes,DSL,Two year,Yes,Credit card,42.37,811.49,No
CUST-10334,Male,0,Yes,No,4.0,Yes,DSL,Month-to-month,Yes,Mailed check,39.7,138.2,No
CUST-10397,Male,0,No,Yes,11.0,Yes,Fiber optic,Two year,Yes,Electronic check,95.19,1034.63,No
